# File generated by CMD 3.0 (http://stev.oapd.inaf.it/cmd) on Sun Jun 10 02:04:27 CEST 2018
# isochrones PARSEC release v1.2S + COLIBRI release PR16, as in Marigo et al. 2017
# Basic reference: Marigo et al. (2017), ApJ, 835, 77
# Photometric system: Gaia DR2 + Tycho2 + 2MASS (all Vegamags)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# Kind of output: isochrone tables
# Zini Age Mini  Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag  B_Tmag  V_Tmag  Jmag    Hmag    Ksmag
0.00034 5.00e+09 0.0900000036    0.090 -3.199  3.4788  5.459    1  0.000  0.545     0.00     0.00 -1  4.94e-17      0.00 7.496e-01 2.500e-01 6.683e-05 1.803e-05 1.635e-04 -1.000 3.717e-04 12.768 13.618 15.353 12.449 18.309 15.332 10.808 10.397 10.366
0.00034 5.00e+09 0.0915745944    0.092 -3.144  3.4868  5.444    1  0.000  0.545     0.00     0.00 -1  5.66e-17      0.00 7.495e-01 2.501e-01 6.683e-05 1.803e-05 1.635e-04 -1.000 3.717e-04 12.631 13.448 15.074 12.303 17.916 15.044 10.700 10.258 10.202
0.00034 5.00e+09 0.0981975794    0.098 -2.924  3.5188  5.382    1  0.000  0.545     0.00     0.00 -1  9.74e-17      0.00 7.489e-01 2.507e-01 6.683e-05 1.803e-05 1.635e-04 -1.000 3.717e-04 12.081 12.749 14.023 11.700 16.415 13.982 10.255 9.731 9.598
0.00034 5.00e+09 0.1000000015    0.100 -2.867  3.5271  5.366    1  0.000  0.545     0.00     0.00 -1  1.12e-16      0.00 7.487e-01 2.509e-01 6.683e-05 1.803e-05 1.635e-04 -1.000 3.717e-04 11.938 12.565 13.765 11.541 16.042 13.725 10.138 9.600 9.453
0.00034 5.00e+09 0.1048164293    0.105 -2.792  3.5351  5.343    1  0.000  0.545     0.00     0.00 -1  1.33e-16      0.00 7.484e-01 2.512e-01 6.683e-05 1.803e-05 1.635e-04 -1.000 3.717e-04 11.751 12.339 13.477 11.337 15.643 13.438 9.974 9.429 9.271
0.00034 5.00e+09 0.1199999973    0.120 -2.578  3.5582  5.279    1  0.000  0.545     0.00     0.00 -1   2.2e-16      0.00 7.475e-01 2.521e-01 6.683e-05 1.803e-05 1.635e-04 -1.000 3.717e-04 11.214 11.692 12.680 10.751 14.546 12.644 9.503 8.948 8.765
0.00034 5.00e+09 0.1400000006    0.140 -2.398  3.5732  5.227    1  0.000  0.545     0.00     0.00 -1  3.28e-16      0.00 7.466e-01 2.530e-01 6.683e-05 1.803e-05 1.635e-04 -1.000 3.718e-04 10.765 11.180 12.094 10.272 13.789 12.056 9.090 8.537 8.349
0.00034 5.00e+09 0.1599999964    0.160 -2.261  3.5831  5.188    1  0.000  0.545     0.00     0.00 -1  4.39e-16      0.00 7.459e-01 2.538e-01 6.683e-05 1.803e-05 1.635e-04 -1.000 3.716e-04 10.423 10.795 11.672 9.904 13.270 11.636 8.752 8.201 8.023
0.00034 5.00e+09 0.2000000179    0.200 -2.049  3.5961  5.124    1  0.000  0.545     0.00     0.00 -1  6.89e-16      0.00 7.449e-01 2.547e-01 6.683e-05 1.803e-05 1.635e-04 -1.000 3.717e-04 9.892 10.174 10.959 9.331 12.334 10.914 8.253 7.703 7.537
0.00034 5.00e+09 0.2500000000    0.250 -1.845  3.6073  5.062    1  0.000  0.545     0.00     0.00 -1  1.06e-15      0.00 7.445e-01 2.551e-01 6.683e-05 1.803e-05 1.635e-04 -1.000 3.716e-04 9.381 9.624 10.360 8.809 11.638 10.306 7.774 7.226 7.062
