epoch,loss,lr,output_loss,output_mean_absolute_error,output_mean_error,val_loss,val_output_loss,val_output_mean_absolute_error,val_output_mean_error,val_variance_output_loss,variance_output_loss
0,0.33364987780905175,0.0005,0.333606088327037,0.6250919236077203,-0.02192771151407152,0.12464110983105806,0.1245964438869403,0.4977203951432155,-0.07263995664050946,0.1245964438869403,0.333606088327037
1,-0.0979670773471236,0.0005,-0.09801239999504681,0.4099938184277624,-0.0620728662619606,-0.2363382474734233,-0.23638408803022826,0.3814086318016052,-0.09224054417931117,-0.23638408803022826,-0.09801239999504681
2,-0.3719345300625532,0.0005,-0.3719808561170203,0.3415551852976155,-0.049011805317659154,-0.4566357663044563,-0.456682555950605,0.32313113946181077,-0.02895434508816554,-0.456682555950605,-0.3719808561170203
3,-0.5267274389919053,0.0005,-0.5267745941622645,0.29914383959566426,-0.03636443957638664,-0.5855610003838172,-0.5856084456810584,0.2835192084312439,-0.01408071407618431,-0.5856084456810584,-0.5267745941622645
4,-0.6457070438270895,0.0005,-0.6457549165456723,0.2642044851667861,-0.021463949671094745,-0.6684835232221163,-0.6685318029843844,0.26028190897061276,0.0060060350224375725,-0.6685318029843844,-0.6457549165456723
5,-0.7257594033184215,0.0005,-0.7258081405590742,0.24340261659051618,-0.01698820684184758,-0.7655836206216079,-0.7656327944535476,0.2352384076668666,0.031707367716500394,-0.7656327944535476,-0.7258081405590742
6,-0.7845974977199848,0.0005,-0.784646969065707,0.22726860056575546,-0.012540778821795924,-0.7582450417371897,-0.7582948116155771,0.2333269566297531,0.05758396450143594,-0.7582948116155771,-0.784646969065707
7,-0.8353293431110871,0.0005,-0.8353794589001908,0.21607005163135692,-0.009372295379941152,-0.8053636826001681,-0.8054141677342929,0.22211593962632692,-0.0343073087099653,-0.8054141677342929,-0.8353794589001908
8,-0.8855781463476328,0.0005,-0.8856289672036456,0.20599801876606086,-0.007780601340147038,-0.8703031264818631,-0.87035438647637,0.21335080036750206,0.01787670225334855,-0.87035438647637,-0.8856289672036456
9,-0.91562236730869,0.0005,-0.9156739039298816,0.1999004250153517,-0.007421366325141783,-0.9152256617179284,-0.9152774719091562,0.20031913083333236,-0.030754163288153134,-0.9152774719091562,-0.9156739039298816
10,-0.9472354487476186,0.0005,-0.9472876130006253,0.1940178900447666,-0.006998307126351338,-0.8976916166452261,-0.8977441283372732,0.20284353425869575,0.0305229456235583,-0.8977441283372732,-0.9472876130006253
11,-0.9658169252240759,0.0005,-0.96586980116673,0.19019784109714705,-0.005039265683780496,-0.9580478438964257,-0.9581010616742648,0.19154811937075394,-0.02931456446934205,-0.9581010616742648,-0.96586980116673
12,-0.9983455166857467,0.0005,-0.9983989346740593,0.18626171248590845,-0.0037387800293489015,-0.9277890828939584,-0.9278427820939285,0.20205082916296446,0.01609143102541566,-0.9278427820939285,-0.9983989346740593
13,-1.0179232129683862,0.0005,-1.0179772096821385,0.18386724947864175,-0.005094570674909613,-1.0302730890420766,-1.0303274209682758,0.1827318530816298,-0.0093288802756713,-1.0303274209682758,-1.0179772096821385
14,-1.0325072102057629,0.0005,-1.0325618763255258,0.18162868050937978,-0.005560520208544201,-1.03436567233159,-1.0344207195135264,0.18342189146922186,-0.00567021627480594,-1.0344207195135264,-1.0325618763255258
15,-1.0480528906879263,0.0005,-1.048108262893481,0.17992799684532687,-0.006599496512745435,-1.0320238104233375,-1.0320794811615577,0.18458060461741227,-0.007334517297120049,-1.0320794811615577,-1.048108262893481
16,-1.0665988988346524,0.0005,-1.0666548314257565,0.17753461933034098,-0.0053084290339651275,-1.0562592836526723,-1.0563155504373403,0.18159537590467012,0.008713863431834258,-1.0563155504373403,-1.0666548314257565
17,-1.086029722649827,0.0005,-1.0860862568912344,0.1742157025469674,-0.005076920975827509,-1.0320938275410578,-1.032150754561791,0.1825210715715702,-0.03510611898337419,-1.032150754561791,-1.0860862568912344
18,-1.1040412809094813,0.0005,-1.1040984366694067,0.1724532699992514,-0.006171726369454215,-1.054898596726931,-1.0549560693594127,0.178602655346577,-0.001996542076365306,-1.0549560693594127,-1.1040984366694067
19,-1.1265415126441891,0.00025,-1.1265990250131004,0.17012692402061233,-0.005893459909746789,-1.096477902852572,-1.0965356001487145,0.17578427149699286,-0.026856324922006864,-1.0965356001487145,-1.1265990250131004
20,-1.1428776057357461,0.00025,-1.14293530710742,0.16823854036310798,-0.005855180404714158,-1.0862854765011714,-1.086343228816986,0.17505822731898382,0.01704071118281438,-1.086343228816986,-1.14293530710742
21,-1.1348584207714114,0.00025,-1.134916302994785,0.16802881734493452,-0.004726679868295661,-1.1013316053610582,-1.1013895594156706,0.17367662030916947,-0.011742730230952684,-1.1013895594156706,-1.134916302994785
22,-1.1463225376911652,0.00025,-1.1463805936340592,0.1685646282047288,-0.0064485205007064296,-1.1046757927307715,-1.1047340035438538,0.1747015152986233,0.00026419296717414487,-1.1047340035438538,-1.1463805936340592
23,-1.1533591502752059,0.00025,-1.1534173437672803,0.16567973537832245,-0.0057819729877842795,-1.1079228887191186,-1.1079812049865723,0.17294462254414192,0.005570039654580446,-1.1079812049865723,-1.1534173437672803
24,-1.1642295361584067,0.00025,-1.1642881504490845,0.1649391410442499,-0.0058231859091812605,-1.122931902225201,-1.1229906724049494,0.17127309968838325,-0.021226668228896763,-1.1229906724049494,-1.1642881504490845
25,-1.1668581881074824,0.00025,-1.1669170499866843,0.16446228376311114,-0.005387560721152486,-1.1396901332415068,-1.1397490318004901,0.17022603406355932,-0.01975989959632548,-1.1397490318004901,-1.1669170499866843
26,-1.1799959443573258,0.00025,-1.1800549865787864,0.16298939007469732,-0.006160429457966716,-1.1370684137711158,-1.1371276607880225,0.1712168546823355,-0.028694173142027397,-1.1371276607880225,-1.1800549865787864
27,-1.1608151798574333,0.00025,-1.160874525196532,0.16609730259475544,-0.006448710377081337,-1.1268968719702501,-1.1269563528207631,0.17210207191797403,-0.0017990126417806516,-1.1269563528207631,-1.160874525196532
28,-1.1823383090842483,0.000125,-1.1823977945197341,0.16276800415964207,-0.004288553445337293,-1.1599601323787982,-1.160019617814284,0.1653396303837116,0.015661893591571312,-1.160019617814284,-1.1823977945197341
29,-1.1933269745264299,0.000125,-1.1933864599619157,0.1616361635363,-0.006553310908886612,-1.164772560963264,-1.1648320463987498,0.16344312865000504,-0.00237639001212441,-1.1648320463987498,-1.1933864599619157
30,-1.1933680141074026,0.000125,-1.1934276085633497,0.16125314574465793,-0.006311494015300503,-1.167692019389226,-1.1677516240340013,0.16599667186920458,-0.010782336350530386,-1.1677516240340013,-1.1934276085633497
31,-1.19460302285659,0.000125,-1.1946627309179714,0.16145573620103362,-0.00531995796566654,-1.132832646369934,-1.132892370223999,0.16887430846691132,-0.022390091720108803,-1.132892370223999,-1.1946627309179714
32,-1.1964908328830686,0.000125,-1.196550665757595,0.16142273471396193,-0.006164416861839783,-1.1735825630334706,-1.1736425253061147,0.1656808234178103,0.012692531749892693,-1.1736425253061147,-1.196550665757595
33,-1.2085091649976551,0.000125,-1.2085691272702992,0.16005326743818757,-0.006065431450947355,-1.1649506779817433,-1.1650106310844421,0.16678415811978853,0.007114372753466551,-1.1650106310844421,-1.2085691272702992
34,-1.2080666397371862,0.000125,-1.2081266549917369,0.1603515211843018,-0.006528307688740902,-1.113887057854579,-1.1139471301665673,0.17402902933267447,0.0034020885001294888,-1.1139471301665673,-1.2081266549917369
35,-1.2120495117627657,6.25e-05,-1.2121095927352579,0.15960005129504407,-0.004696158414634948,-1.1626348128685584,-1.162694894350492,0.1674560526242623,-0.0037290097500842353,-1.162694894350492,-1.2121095927352579
36,-1.212267529251229,6.25e-05,-1.2123276107331626,0.1602186024443716,-0.005203842869999572,-1.1302812557954054,-1.130341337277339,0.17370742788681617,-0.01663470619286482,-1.130341337277339,-1.2123276107331626
37,-1.210777286790375,3.125e-05,-1.2108373682723086,0.15956009937147808,-0.006038084369487105,-1.1531480275667632,-1.1532081090486968,0.17002393076053032,-0.014938665912128411,-1.1532081090486968,-1.2108373682723086
38,-1.2292322755878806,3.125e-05,-1.2292923570698142,0.15698304008214903,-0.007265445326542498,-1.1506516750042255,-1.150711756486159,0.1663794872852472,-0.003256751367679009,-1.150711756486159,-1.2292923570698142
39,-1.2174968250796325,1.5625e-05,-1.2175569065615661,0.1597987131939994,-0.006221056545678622,-1.1649556343372052,-1.1650157158191388,0.16773473643339598,-0.0060767236953744525,-1.1650157158191388,-1.2175569065615661
40,-1.2277258053804054,1.5625e-05,-1.227785886862339,0.15589855254715324,-0.004676596563046751,-1.135590984271123,-1.1356510657530565,0.16706110995549422,-0.000977317587687419,-1.1356510657530565,-1.227785886862339
41,-1.212628099653456,7.8125e-06,-1.2126881811353896,0.15998947887848586,-0.007028343865417072,-1.1644822359085083,-1.164542317390442,0.16909015064056104,-0.0050310088464846974,-1.164542317390442,-1.2126881811353896
42,-1.2231057057013879,7.8125e-06,-1.2231657871833215,0.1575804267428879,-0.005136878701308981,-1.169708251953125,-1.1697683334350586,0.1662482080551294,-0.008465821783129986,-1.1697683334350586,-1.2231657871833215
43,-1.2249505896853585,3.90625e-06,-1.2250106711672921,0.157708961612139,-0.005816678285726115,-1.1728863991223848,-1.1729464806043184,0.16452749302754036,-0.0062165422221789,-1.1729464806043184,-1.2250106711672921
44,-1.2224027290303483,3.90625e-06,-1.222462810512282,0.15782294963669574,-0.0065053729151383554,-1.1424773793954115,-1.142537460877345,0.1699023705262404,-0.014963769998687964,-1.142537460877345,-1.222462810512282
45,-1.2176201567690597,1.953125e-06,-1.2176802382509933,0.1579847959881155,-0.005251674510888819,-1.1954832810621996,-1.1955433625441332,0.16380477639345023,-0.009569688986700315,-1.1955433625441332,-1.2176802382509933
46,-1.223345126861181,1.953125e-06,-1.2234052083431146,0.15774467561998937,-0.005832497949879139,-1.1535787949195275,-1.1536388764014611,0.16581205565195817,-0.005952070897015242,-1.1536388764014611,-1.2234052083431146
47,-1.2176851640399704,1.953125e-06,-1.217745245521904,0.15953756206565434,-0.007063507912362106,-1.1670834559660692,-1.1671435374480028,0.16653903631063607,-0.008596988520226799,-1.1671435374480028,-1.217745245521904
48,-1.2249768676920834,9.765625e-07,-1.225036949174017,0.15732020585455447,-0.005068884230155148,-1.1638008493643541,-1.1638609308462877,0.16667704169566816,-0.006150708963664679,-1.1638609308462877,-1.225036949174017
49,-1.2247615339409592,9.765625e-07,-1.2248216154228928,0.15784749172182164,-0.00696599883481096,-1.1855680208939772,-1.1856281023759108,0.1614855848825895,-0.0015236723344199932,-1.1856281023759108,-1.2248216154228928
50,-1.2251130464749458,4.882813e-07,-1.2251731279568794,0.15747022870768848,-0.0062238265248811524,-1.1791382477833674,-1.179198329265301,0.16749272438196036,-0.007217149196479183,-1.179198329265301,-1.2251731279568794
51,-1.2259420788186228,4.882813e-07,-1.2260021603005564,0.15829209754100212,-0.006588520941873774,-1.1881588789132924,-1.188218960395226,0.16329857592399305,-0.00787104877571647,-1.188218960395226,-1.2260021603005564
52,-1.2221368041812863,2.4414064e-07,-1.22219688566322,0.15777113607041857,-0.0055872260385917295,-1.1819607477921705,-1.1820208292741041,0.16677236557006836,-0.010032478612489425,-1.1820208292741041,-1.22219688566322
53,-1.219177218583914,2.4414064e-07,-1.2192373000658476,0.15810187352009308,-0.003021435923555977,-1.1787948791797345,-1.178854960661668,0.16389727592468262,-0.006234769781048481,-1.178854960661668,-1.2192373000658476
54,-1.21849104278108,1.2207032e-07,-1.2185511242630136,0.15915798720641014,-0.004813013320717101,-1.1815849909415612,-1.1816450724234948,0.16509958643179673,-0.008303629538904015,-1.1816450724234948,-1.2185511242630136
55,-1.2288533275962894,1.2207032e-07,-1.228913409078223,0.15801122084132627,-0.005400775956650639,-1.1638559011312632,-1.1639159826131968,0.16644294903828546,-0.005074908562864249,-1.1639159826131968,-1.228913409078223
56,-1.2252599077346997,6.103516e-08,-1.2253199892166333,0.1574890972712101,-0.006660729275546713,-1.1795989916874812,-1.1796590731694148,0.16390524460719183,-0.009441311363703929,-1.1796590731694148,-1.2253199892166333
57,-1.2210448104092197,6.103516e-08,-1.2211048918911533,0.15825968343987423,-0.006559220423253301,-1.1708413362503052,-1.1709014177322388,0.16413010083712065,-0.0018709586181033116,-1.1709014177322388,-1.2211048918911533
58,-1.2148115604351728,3.051758e-08,-1.2148716419171064,0.1595178657872045,-0.0071775673363262266,-1.1793930530548096,-1.1794531345367432,0.1624935487141976,-0.009046043197696026,-1.1794531345367432,-1.2148716419171064
59,-1.2195783033330216,3.051758e-08,-1.2196383848149552,0.15859867696069244,-0.005384185769332525,-1.1772145491379957,-1.1772746306199293,0.1670170254432238,-0.0074796698127801604,-1.1772746306199293,-1.2196383848149552
